year,month,metro,city,houseCnt,powerUsage,bill,latitude,longitude
2022,3,서울특별시,강남구,261166,243.8,29122,37.5652129,126.9773517
2022,4,서울특별시,중랑구,196154,208.79,21675,37.5652129,126.9773517
2022,4,서울특별시,금천구,127104,198.23,20885,37.5652129,126.9773517
2022,4,서울특별시,관악구,297032,173.42,17752,37.5652129,126.9773517
2022,4,서울특별시,중구,73583,200.39,21545,37.5652129,126.9773517
2022,4,서울특별시,성북구,212035,232.27,25096,37.5652129,126.9773517
2022,4,서울특별시,노원구,224724,237.79,22883,37.5652129,126.9773517
2022,4,서울특별시,구로구,204381,220.01,22960,37.5652129,126.9773517
2022,4,서울특별시,용산구,123944,223.27,26821,37.5652129,126.9773517
2022,4,서울특별시,성동구,138920,240.67,25798,37.5652129,126.9773517
2022,4,서울특별시,도봉구,148477,228.67,23246,37.5652129,126.9773517
2022,4,서울특별시,마포구,195468,215.02,22801,37.5652129,126.9773517
2022,4,서울특별시,양천구,190895,248.35,26860,37.5652129,126.9773517
2022,4,서울특별시,동작구,199297,208.87,22522,37.5652129,126.9773517
2022,4,서울특별시,강북구,156827,205.55,21184,37.5652129,126.9773517
2022,4,서울특별시,영등포구,209017,207.98,21856,37.5652129,126.9773517
2022,4,서울특별시,광진구,184653,195.33,21431,37.5652129,126.9773517
2022,4,서울특별시,송파구,285261,251.03,28109,37.5652129,126.9773517
2022,4,서울특별시,종로구,86551,192.55,22537,37.5652129,126.9773517
2022,4,서울특별시,강동구,205973,227.34,24824,37.5652129,126.9773517
2022,4,서울특별시,서대문구,159816,216.39,23161,37.5652129,126.9773517
2022,4,서울특별시,서초구,180507,259.38,32148,37.5652129,126.9773517
2022,4,서울특별시,동대문구,190286,207.09,21437,37.5652129,126.9773517
2022,4,서울특별시,은평구,229036,225.49,24478,37.5652129,126.9773517
2022,4,서울특별시,강서구,287132,213.37,22073,37.5652129,126.9773517
2022,4,서울특별시,강남구,261041,240.94,28118,37.5652129,126.9773517
2022,5,서울특별시,종로구,86547,174.35,19900,37.5652129,126.9773517
2022,5,서울특별시,광진구,184650,177.92,19065,37.5652129,126.9773517
2022,5,서울특별시,마포구,195473,199.62,20674,37.5652129,126.9773517
2022,5,서울특별시,송파구,286094,228.82,24787,37.5652129,126.9773517
2022,5,서울특별시,동대문구,190622,188.05,18966,37.5652129,126.9773517
2022,5,서울특별시,도봉구,148525,207.21,20310,37.5652129,126.9773517
2022,5,서울특별시,은평구,227707,207.61,21803,37.5652129,126.9773517
2022,5,서울특별시,서대문구,161234,198.78,20707,37.5652129,126.9773517
2022,5,서울특별시,금천구,127063,182.06,18681,37.5652129,126.9773517
2022,5,서울특별시,강동구,206073,210.42,22255,37.5652129,126.9773517
2022,5,서울특별시,중구,73589,185.92,19545,37.5652129,126.9773517
2022,5,서울특별시,중랑구,196166,190.72,19263,37.5652129,126.9773517
2022,5,서울특별시,노원구,224667,214.44,19824,37.5652129,126.9773517
2022,5,서울특별시,동작구,199154,189.1,19764,37.5652129,126.9773517
2022,5,서울특별시,강남구,260891,228.12,26298,37.5652129,126.9773517
2022,5,서울특별시,용산구,124103,204.77,24069,37.5652129,126.9773517
2022,5,서울특별시,성동구,138825,219.25,22759,37.5652129,126.9773517
2022,5,서울특별시,성북구,211940,210.48,22112,37.5652129,126.9773517
2022,5,서울특별시,강북구,156834,184.88,18408,37.5652129,126.9773517
2022,5,서울특별시,양천구,190825,227.09,23742,37.5652129,126.9773517
2022,5,서울특별시,영등포구,210001,190.75,19620,37.5652129,126.9773517
2022,5,서울특별시,서초구,180452,241.73,29528,37.5652129,126.9773517
2022,5,서울특별시,강서구,286989,195.08,19676,37.5652129,126.9773517
2022,5,서울특별시,구로구,204526,200.17,20333,37.5652129,126.9773517
2022,5,서울특별시,관악구,297058,157.33,15735,37.5652129,126.9773517
2022,6,서울특별시,용산구,124245,223.02,27715,37.5652129,126.9773517
2022,6,서울특별시,도봉구,148533,215.41,21541,37.5652129,126.9773517
2022,6,서울특별시,금천구,127275,192.53,20293,37.5652129,126.9773517
2022,6,서울특별시,강남구,260820,250.47,30689,37.5652129,126.9773517
2022,6,서울특별시,성북구,212147,218.66,23351,37.5652129,126.9773517
2022,6,서울특별시,동대문구,190731,198.69,20491,37.5652129,126.9773517
2022,6,서울특별시,영등포구,210271,203.39,21781,37.5652129,126.9773517
2022,6,서울특별시,서초구,180472,262.48,33597,37.5652129,126.9773517
2022,6,서울특별시,송파구,286272,241.61,27131,37.5652129,126.9773517
2022,6,서울특별시,중랑구,196449,199.84,20671,37.5652129,126.9773517
2022,6,서울특별시,마포구,195471,214.2,23108,37.5652129,126.9773517
2022,6,서울특별시,양천구,190863,236.43,25329,37.5652129,126.9773517
2022,6,서울특별시,강북구,156874,192.54,19521,37.5652129,126.9773517
2022,6,서울특별시,서대문구,161240,212.14,22945,37.5652129,126.9773517
2022,6,서울특별시,종로구,86816,187.11,22099,37.5652129,126.9773517
2022,6,서울특별시,성동구,138840,230.19,24590,37.5652129,126.9773517
2022,6,서울특별시,관악구,297114,167.55,17123,37.5652129,126.9773517
2022,6,서울특별시,중구,73489,203.28,22401,37.5652129,126.9773517
2022,6,서울특별시,광진구,184625,191.49,21241,37.5652129,126.9773517
2022,6,서울특별시,은평구,228905,216.25,23199,37.5652129,126.9773517
2022,6,서울특별시,구로구,204596,210.33,21836,37.5652129,126.9773517
2022,6,서울특별시,동작구,199158,200.48,21506,37.5652129,126.9773517
2022,6,서울특별시,강동구,206153,225.68,24635,37.5652129,126.9773517
2022,6,서울특별시,노원구,224650,223.96,21156,37.5652129,126.9773517
2022,6,서울특별시,강서구,287171,204.94,21139,37.5652129,126.9773517
2022,7,서울특별시,동대문구,190819,252.66,28392,37.5652129,126.9773517
2022,7,서울특별시,서대문구,161269,279.38,32616,37.5652129,126.9773517
2022,7,서울특별시,노원구,224633,283.12,27908,37.5652129,126.9773517
